"age_n","isotope","zeros"
0,"d13C",0.272215727223899
0,"d13C",0.589001422953138
0,"d13C",0.890730271909172
2,"d13C",0.191959494052099
2,"d13C",0.310491901237635
2,"d13C",0.692827718820135
2,"d13C",0.870738546056698
4,"d13C",0.244172965730493
4,"d13C",0.38080061559279
4,"d13C",0.434343652268096
4,"d13C",0.58083459690658
4,"d13C",0.657592698408916
4,"d13C",0.866532828282828
0,"d15N",0.564838302964474
2,"d15N",0.107155835643914
2,"d15N",0.191650411954804
2,"d15N",0.366377332807006
2,"d15N",0.700914993154146
2,"d15N",0.892435015250017
2,"d15N",0.917461118493681
3,"d15N",0.157061393482782
3,"d15N",0.460938063890656
3,"d15N",0.834995532824729
3,"d15N",0.891754172594825
4,"d15N",0.0465066140846418
4,"d15N",0.270874137692627
4,"d15N",0.380298032363131
4,"d15N",0.419624062632994
4,"d15N",0.509730060620219
4,"d15N",0.636821611749596
4,"d15N",0.739522254217603
4,"d15N",0.824798377507165
4,"d15N",0.84320419077257
4,"d15N",0.863961760374799
